strategy_id,strategy_name,n_positions,n_deep,best_move_pct,top3_pct,delta_mean,delta_p95,severity_pct,rank_flip_pct,gpu_total
F0,quick_only,45,0,77.77777777777777,62.22222222222222,0.2591111111111111,1.3,84.44444444444444,13.333333333333334,0.0
F1,opening_400_all,45,90,82.22222222222223,64.44444444444444,0.4573333333333333,1.31,82.22222222222223,31.11111111111111,161.2
F2,player_800,45,45,77.77777777777777,62.22222222222222,0.28600000000000003,1.3,80.0,28.88888888888889,79.5
F3,player_1000,45,45,82.22222222222223,66.66666666666667,0.2531111111111111,0.8699999999999992,82.22222222222223,42.22222222222222,49.5
F4,all_turns_1000,45,90,77.77777777777777,68.88888888888889,0.23733333333333334,0.81,84.44444444444444,31.11111111111111,133.10000000000002
F5,errors_1000,45,11,82.22222222222223,64.44444444444444,0.26755555555555555,1.3,82.22222222222223,24.444444444444443,3.5
F6,ambig_2000_rest_1000,45,11,82.22222222222223,68.88888888888889,0.2568888888888889,1.3,84.44444444444444,17.77777777777778,28.4
